Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
atmosphere_atmosphere,org.atmosphere.cpr,ExcludeSessionBroadcasterTest.AR,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: value
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereResourceFactoryTest,Feature Envy,The tool detected a instance of this smell because findTest is more interested in members of the type: AtmosphereFramework
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereResourceFactoryTest,Feature Envy,The tool detected a instance of this smell because notFoundTest is more interested in members of the type: AtmosphereFramework
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereResourceFactoryTest,Feature Envy,The tool detected a instance of this smell because deleteTest is more interested in members of the type: AtmosphereFramework
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereResourceFactoryTest,Feature Envy,The tool detected a instance of this smell because broadcastersTest is more interested in members of the type: AtmosphereFramework
atmosphere_atmosphere,org.atmosphere.cpr,BroadcastFilterTest,Feature Envy,The tool detected a instance of this smell because testVoidAtmosphereResouce is more interested in members of the type: Broadcaster
atmosphere_atmosphere,org.atmosphere.cpr,BroadcastFilterTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ar; broadcaster; atmosphereHandler; msg; msg; perRequest; perRequest; msg; msg; value
atmosphere_atmosphere,org.atmosphere.cpr,BroadcastFilterTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
atmosphere_atmosphere,org.atmosphere.cpr,BroadcastFilterTest.PerRequestFilter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: msg
atmosphere_atmosphere,org.atmosphere.cpr,BroadcastFilterTest.PerRequestFilter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atmosphere_atmosphere,org.atmosphere.cpr,BroadcastFilterTest.VoidAtmosphereResource,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: msg
atmosphere_atmosphere,org.atmosphere.cpr,BroadcastFilterTest.VoidAtmosphereResource,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atmosphere_atmosphere,org.atmosphere.cpr,BroadcastFilterTest.AbortFilter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: perRequest
atmosphere_atmosphere,org.atmosphere.cpr,BroadcastFilterTest.AbortFilter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atmosphere_atmosphere,org.atmosphere.cpr,BroadcastFilterTest.AbortFilter2,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
atmosphere_atmosphere,org.atmosphere.cpr,BroadcastFilterTest.AbortFilter2,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atmosphere_atmosphere,org.atmosphere.cpr,BroadcastFilterTest.SlipFilter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: perRequest
atmosphere_atmosphere,org.atmosphere.cpr,BroadcastFilterTest.SlipFilter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atmosphere_atmosphere,org.atmosphere.cpr,BroadcastFilterTest.DoNohingFilter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: msg
atmosphere_atmosphere,org.atmosphere.cpr,BroadcastFilterTest.DoNohingFilter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atmosphere_atmosphere,org.atmosphere.cpr,BroadcastFilterTest.Filter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: msg
atmosphere_atmosphere,org.atmosphere.cpr,BroadcastFilterTest.Filter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atmosphere_atmosphere,org.atmosphere.cpr,BroadcastFilterTest.AR,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: value
atmosphere_atmosphere,org.atmosphere.cpr,BroadcastFilterTest.AR,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atmosphere_atmosphere,org.atmosphere.cpr,BroadcastFilterTest.AR,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: value
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereFrameworkTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 24 public methods
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereFrameworkTest.MyAtmosphereServlet,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereFrameworkTest.MyAtmosphereServlet,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereFrameworkTest.MyInterceptor,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: call
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereFrameworkTest.MyInterceptor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereFrameworkTest.MyBroadcasterFactory,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereFrameworkTest.MyBroadcasterFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereInterceptorWriterTest.TestFilter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereInterceptorWriterTest.TestFilter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atmosphere_atmosphere,org.atmosphere.cpr,WriteTimeoutTest.AR,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: latch
atmosphere_atmosphere,org.atmosphere.cpr,WriteTimeoutTest.AR,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereHandlerTest.AR,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereHandlerTest.AR,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereResourceListenerTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 28 public methods
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereRequestTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 45 public methods
atmosphere_atmosphere,org.atmosphere.cpr,DefaultAsyncSupportResolverTest.InvalidAsyncSupportClass,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
atmosphere_atmosphere,org.atmosphere.cpr,DefaultAsyncSupportResolverTest.InvalidAsyncSupportClass,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atmosphere_atmosphere,org.atmosphere.cpr,ServiceTest.B,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
atmosphere_atmosphere,org.atmosphere.cpr,ServiceTest.B,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atmosphere_atmosphere,org.atmosphere.cpr,ServiceTest.C,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
atmosphere_atmosphere,org.atmosphere.cpr,ServiceTest.C,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereInterceptorTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 56 public methods
atmosphere_atmosphere,org.atmosphere.cpr,ConcurrentBroadcasterTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ar; broadcaster; atmosphereHandler; config; value; count
atmosphere_atmosphere,org.atmosphere.cpr,ConcurrentBroadcasterTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 26 public methods
atmosphere_atmosphere,org.atmosphere.cpr,ConcurrentBroadcasterTest.AR,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: value
atmosphere_atmosphere,org.atmosphere.cpr,ConcurrentBroadcasterTest.AR,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atmosphere_atmosphere,org.atmosphere.cpr,ConcurrentBroadcasterTest.AR,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: value
atmosphere_atmosphere,org.atmosphere.cpr,ConcurrentBroadcasterTest.AR2,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: count
atmosphere_atmosphere,org.atmosphere.cpr,ConcurrentBroadcasterTest.AR2,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atmosphere_atmosphere,org.atmosphere.cpr,ConcurrentBroadcasterTest.AR2,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: count
atmosphere_atmosphere,org.atmosphere.cpr,BroadcasterTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ar; broadcaster; atmosphereHandler; config; value
atmosphere_atmosphere,org.atmosphere.cpr,BroadcasterTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 27 public methods
atmosphere_atmosphere,org.atmosphere.cpr,BroadcasterTest.AR,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: value
atmosphere_atmosphere,org.atmosphere.cpr,BroadcasterTest.AR,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atmosphere_atmosphere,org.atmosphere.cpr,BroadcasterTest.AR,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: value
atmosphere_atmosphere,org.atmosphere.cpr,WebSocketFactoryTest.CustomFactory,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
atmosphere_atmosphere,org.atmosphere.cpr,WebSocketFactoryTest.CustomFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atmosphere_atmosphere,org.atmosphere.cpr,TrackMessageSizeInterceptorTest.ArrayBaseWebSocket,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: outputStream
atmosphere_atmosphere,org.atmosphere.cpr,TrackMessageSizeInterceptorTest.ArrayBaseWebSocket,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atmosphere_atmosphere,org.atmosphere.cpr,WebSocketStreamingHandlerTest.EchoHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
atmosphere_atmosphere,org.atmosphere.cpr,WebSocketStreamingHandlerTest.EchoHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atmosphere_atmosphere,org.atmosphere.cpr,WebSocketStreamingHandlerTest.ArrayBaseWebSocket,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: outputStream
atmosphere_atmosphere,org.atmosphere.cpr,WebSocketStreamingHandlerTest.ArrayBaseWebSocket,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereResourceTest,Feature Envy,The tool detected a instance of this smell because testHashCode is more interested in members of the type: AtmosphereFramework
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereResourceTest,Feature Envy,The tool detected a instance of this smell because testCompletionAwareForSyncButStartAsync is more interested in members of the type: AtmosphereFramework
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereResourceTest,Feature Envy,The tool detected a instance of this smell because verifyTestCompletionAwareForStartAsync is more interested in members of the type: AtmosphereFramework
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereResourceTest,Feature Envy,The tool detected a instance of this smell because verifyTestCompletionAwareForGetAsync is more interested in members of the type: AtmosphereFramework
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereResourceTest,Feature Envy,The tool detected a instance of this smell because verifyTestCompletionAwareForSync is more interested in members of the type: AtmosphereFramework
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereResourceTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 33 public methods
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereResourceTest.TestAsyncIOWriter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: out
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereResourceTest.TestAsyncIOWriter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atmosphere_atmosphere,org.atmosphere.cpr,WebSocketProcessorTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 46 public methods
atmosphere_atmosphere,org.atmosphere.cpr,WebSocketProcessorTest.ArrayBaseWebSocket,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: outputStream
atmosphere_atmosphere,org.atmosphere.cpr,WebSocketProcessorTest.ArrayBaseWebSocket,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atmosphere_atmosphere,org.atmosphere.cpr,UUIDBroadcasterCacheThreadingTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: BROADCASTER_ID; NUM_MESSAGES; counter; CLIENT_ID; retreivedMessages
atmosphere_atmosphere,org.atmosphere.cpr,DefaultBroadcasterTest.B,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
atmosphere_atmosphere,org.atmosphere.cpr,DefaultBroadcasterTest.B,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atmosphere_atmosphere,org.atmosphere.cpr,DefaultBroadcasterFactoryTest,Feature Envy,The tool detected a instance of this smell because testAdd is more interested in members of the type: DefaultBroadcasterFactory
atmosphere_atmosphere,org.atmosphere.cpr,DefaultBroadcasterFactoryTest,Feature Envy,The tool detected a instance of this smell because testRemove is more interested in members of the type: DefaultBroadcasterFactory
atmosphere_atmosphere,org.atmosphere.cpr,DefaultBroadcasterFactoryTest,Feature Envy,The tool detected a instance of this smell because testLookup_Class_Object_BadClass is more interested in members of the type: DefaultBroadcasterFactory
atmosphere_atmosphere,org.atmosphere.cpr,DefaultBroadcasterFactoryTest,Feature Envy,The tool detected a instance of this smell because testLookup_Object is more interested in members of the type: DefaultBroadcasterFactory
atmosphere_atmosphere,org.atmosphere.cpr,DefaultBroadcasterFactoryTest,Feature Envy,The tool detected a instance of this smell because testSlashFactory is more interested in members of the type: DefaultBroadcasterFactory
atmosphere_atmosphere,org.atmosphere.cpr,DefaultBroadcasterFactoryTest,Feature Envy,The tool detected a instance of this smell because testEmailFactory is more interested in members of the type: DefaultBroadcasterFactory
atmosphere_atmosphere,org.atmosphere.cpr,DefaultBroadcasterFactoryTest,Feature Envy,The tool detected a instance of this smell because testSlashEmailFactory is more interested in members of the type: DefaultBroadcasterFactory
atmosphere_atmosphere,org.atmosphere.cpr,DefaultBroadcasterFactoryTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: config; factory; instance
atmosphere_atmosphere,org.atmosphere.cpr,DefaultBroadcasterFactoryTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 25 public methods
atmosphere_atmosphere,org.atmosphere.cpr,DefaultBroadcasterFactoryTest.TestBroadcaster,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: instance
atmosphere_atmosphere,org.atmosphere.cpr,DefaultBroadcasterFactoryTest.TestBroadcaster,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atmosphere_atmosphere,org.atmosphere.cpr,DefaultBroadcasterFactoryTest.TestBroadcaster,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: instance
atmosphere_atmosphere,org.atmosphere.cpr,UUIDBroadcasterCacheTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ar; broadcaster; atmosphereHandler; broadcasterCache; config; value
atmosphere_atmosphere,org.atmosphere.cpr,UUIDBroadcasterCacheTest.AR,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: value
atmosphere_atmosphere,org.atmosphere.cpr,UUIDBroadcasterCacheTest.AR,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atmosphere_atmosphere,org.atmosphere.cpr,UUIDBroadcasterCacheTest.AR,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: value
atmosphere_atmosphere,org.atmosphere.cpr,BroadcasterLifecyclePolicyTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: framework; resource; releaseExternalResources; destroy; latch
atmosphere_atmosphere,org.atmosphere.cpr,BroadcasterLifecyclePolicyTest.AR,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: resource
atmosphere_atmosphere,org.atmosphere.cpr,BroadcasterLifecyclePolicyTest.AR,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atmosphere_atmosphere,org.atmosphere.cpr,BroadcasterLifecyclePolicyTest.B,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: releaseExternalResources; destroy; latch
atmosphere_atmosphere,org.atmosphere.cpr,BroadcasterLifecyclePolicyTest.B,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atmosphere_atmosphere,org.atmosphere.cpr,BroadcasterLifecyclePolicyTest.B,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: releaseExternalResources; destroy; latch
atmosphere_atmosphere,org.atmosphere.cpr,WebSocketHandlerTest.EchoHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: request
atmosphere_atmosphere,org.atmosphere.cpr,WebSocketHandlerTest.EchoHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atmosphere_atmosphere,org.atmosphere.cpr,WebSocketHandlerTest.ArrayBaseWebSocket,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: outputStream
atmosphere_atmosphere,org.atmosphere.cpr,WebSocketHandlerTest.ArrayBaseWebSocket,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
